Energy (eV), Intensity (a.u.)
1.403496166675630041e+00,1.410923434721180456e+02
1.403565300581880004e+00,1.372214866821484804e+02
1.403634636729440111e+00,1.217666564289022517e+02
1.403703687348119900e+00,1.526501814055236537e+02
1.403773035580140105e+00,1.449188084627391788e+02
1.403842099816660083e+00,1.294701451940307777e+02
1.403911364767000070e+00,1.564783208697233192e+02
1.403980636552679906e+00,1.371740922229010380e+02
1.404049915174720109e+00,1.333081455440841125e+02
1.404119200634120102e+00,1.448730725775175188e+02
1.404188492931899956e+00,1.371503250666117992e+02
1.404257695062359979e+00,1.448547454906037331e+02
1.404327002620789910e+00,1.487011304784740560e+02
1.404396315430360032e+00,1.795308661593528825e+02
1.404465635082349895e+00,1.486815360793474952e+02
1.404534961577790009e+00,1.371106110684919486e+02
1.404604294917680019e+00,1.255433828650289456e+02
1.404673538038859970e+00,1.293897412723765115e+02
1.404742982134880025e+00,1.370867156469493295e+02
1.404812336014219953e+00,1.601861728315803646e+02
1.404881696742060093e+00,1.216682646766295903e+02
1.404951161421970074e+00,1.640128157186993860e+02
1.405020537451469931e+00,1.601511120605264296e+02
1.405089918740680011e+00,1.293492219108738936e+02
1.405159404013790025e+00,1.716721833948605536e+02
1.405228799018749974e+00,1.485733726884666055e+02
1.405298298028839987e+00,1.562573561437068861e+02
1.405367706753620105e+00,1.485536281591798229e+02
1.405437219504769963e+00,1.254695832234392157e+02
1.405506739132780014e+00,1.600690975846088122e+02
1.405576170042980078e+00,1.408350375191076864e+02
1.405645703418320069e+00,1.331386738395149791e+02
1.405715243673600012e+00,1.600338518999141684e+02
1.405784693592009971e+00,1.292811571145714709e+02
1.405854247600579976e+00,1.177483029205871929e+02
1.405923711255099962e+00,1.638399384351890546e+02
1.405993376267689943e+00,1.484644560440370640e+02
1.406062853672009894e+00,1.330938832650952008e+02
1.406132534069459927e+00,1.330863904928698958e+02
1.406202122503340091e+00,1.177231788813519415e+02
1.406271815110490042e+00,1.369096944251879506e+02
1.406341320036420095e+00,1.445769619924372762e+02
1.406410929137670074e+00,1.560788465023645415e+02
1.406480642444150053e+00,1.445582178077468143e+02
1.406550265338389893e+00,1.445488361497987739e+02
1.406619896721480023e+00,1.598804157764504055e+02
1.406689533403330028e+00,1.483646729760793903e+02
1.406759274333079901e+00,1.483546501086663341e+02
1.406828924816120097e+00,1.445112184277415395e+02
1.406898679568409971e+00,1.674985118764844287e+02
1.406968441238330092e+00,1.406601814831273316e+02
1.407038015044449919e+00,1.674722731702683802e+02
1.407107792130150026e+00,1.483044083818973888e+02
1.407177574539999920e+00,1.444639966850523365e+02
1.407247266451409962e+00,1.367950864572146372e+02
1.407317160125989952e+00,1.329577211070653391e+02
1.407386963304189997e+00,1.444355551590702760e+02
1.407456675958040027e+00,1.597375812601920018e+02
1.407526592033830015e+00,1.597256199281394800e+02
1.407596318521280088e+00,1.367537126430738113e+02
1.407666149395520039e+00,1.214412326003203049e+02
1.407735987198730054e+00,1.290862300674135099e+02
1.407805831931929985e+00,1.520280421837138647e+02
1.407875683596170102e+00,1.252478079053218067e+02
1.407945543791099929e+00,1.405356725274592122e+02
1.408015409320640066e+00,1.443496850491377756e+02
1.408085379320570096e+00,1.634519402310654073e+02
1.408155258729069992e+00,1.749045507969504456e+02
1.408225145073759954e+00,1.481420151808426056e+02
1.408295137520430007e+00,1.443112399025145010e+02
1.408365037750449966e+00,1.481215241985159707e+02
1.408434944919759957e+00,1.481112655127053301e+02
1.408504956623789939e+00,1.595570903299554857e+02
1.408574975288569897e+00,1.480907018295675357e+02
1.408645002515360067e+00,1.595328343786943606e+02
1.408714937481410079e+00,1.366194922074960800e+02
1.408784977025119955e+00,1.671410473982896576e+02
1.408854925890820065e+00,1.442337921147313295e+02
1.408924979355669960e+00,1.480390874751842603e+02
1.408995041388519942e+00,1.594720012794782349e+02
1.409065011116489963e+00,1.709012296694844224e+02
1.409135183157590010e+00,1.403815600694625800e+02
1.409205166805290066e+00,1.441849755338865577e+02
1.409275255105870039e+00,1.594231025403629474e+02
1.409345351980449967e+00,1.555994735236382382e+02
1.409415454226589981e+00,1.517770501889596346e+02
1.409485563446990053e+00,1.250949232434735308e+02
1.409555679642680026e+00,1.898503179668895200e+02
1.409625802814719941e+00,1.517438114552473110e+02
1.409696032326279935e+00,1.479243788751870170e+02
1.409766169464010011e+00,1.555292911510369720e+02
