Energy (eV), Intensity (a.u.)
1.412299604039819911e+00,1.749054099925954802e+02
1.412370196757759988e+00,9.992994599230091524e+01
1.412440796533090070e+00,1.665232539919947499e+02
1.412511403366879970e+00,2.247704019916765219e+02
1.412581920709170102e+00,1.664699399913462514e+02
1.412652541653399929e+00,1.497989659910024898e+02
1.412723267839099961e+00,1.081708299906447337e+02
1.412793904527130051e+00,1.747095179902734401e+02
1.412864644868909947e+00,1.580452119898870080e+02
1.412935195876509953e+00,1.580199119894865305e+02
1.413005950368610097e+00,1.579946139890691938e+02
1.413076615328650032e+00,1.579693299886360762e+02
1.413147187507739932e+00,1.163798219881866203e+02
1.413217963233460051e+00,1.579187619877182271e+02
1.413288747659759981e+00,9.972219798723152451e+01
1.413359537566269974e+00,1.578682099867257307e+02
1.413430236286550068e+00,1.744579779862008593e+02
1.413500942080140099e+00,1.079805059856554976e+02
1.413571754857340101e+00,1.910118559850879763e+02
1.413642474810709926e+00,1.826777499844991439e+02
1.413713300158069952e+00,1.660440979838864735e+02
1.413784232541950070e+00,1.079113839832489248e+02
1.413855072094869936e+00,1.908895879825874147e+02
1.413925722053039902e+00,1.908590239819020269e+02
1.413996577398479948e+00,1.576409139811879641e+02
1.414067536599949992e+00,1.161378699804450179e+02
1.414138404547089944e+00,1.327077479796741954e+02
1.414209181211379951e+00,1.741510319788744425e+02
1.414280064970059980e+00,1.492484139780424641e+02
1.414351052627859984e+00,1.740952919771768848e+02
1.414421850580070084e+00,1.740674139762801929e+02
1.414492854085910079e+00,1.408891599753460184e+02
1.414563764671270096e+00,7.457643797437691546e+01
1.414634780812400017e+00,9.113439197336879261e+01
1.414705707242839949e+00,1.325378879723229204e+02
1.414776639171620110e+00,1.656458439712365873e+02
1.414847676689009903e+00,1.656193239701065352e+02
1.414918624469789998e+00,1.407538899689342884e+02
1.414989577751629923e+00,1.904012599677166975e+02
1.415060636654930093e+00,1.738168019664502140e+02
1.415131605795679981e+00,1.324106439651365292e+02
1.415202678964980088e+00,1.158407659637702238e+02
1.415273759273750098e+00,1.489142919623510295e+02
1.415344749793999934e+00,1.819772179608790736e+02
1.415415844375220056e+00,7.443331195934824507e+01
1.415486847534789927e+00,2.067260899577605358e+02
1.415557958008559991e+00,1.405512399561092991e+02
1.415629172595529894e+00,1.322623439543920085e+02
1.415700295754179994e+00,1.735665439526109424e+02
1.415771329072319951e+00,1.404837499507638654e+02
1.415842565130210007e+00,1.817734059488404341e+02
1.415913611109490100e+00,9.913325594684854991e+01
1.415984863103540103e+00,1.734554299447742949e+02
1.416056022008340021e+00,1.486522819426233184e+02
1.416127089412009932e+00,1.238570699403928899e+02
1.416198264230200010e+00,1.073256079380736878e+02
1.416269543259049968e+00,1.733443899356621785e+02
1.416340732397830093e+00,1.237975999331616066e+02
1.416412025768960081e+00,1.237777779305616264e+02
1.416483227614580009e+00,1.320084999278657847e+02
1.416554438237330071e+00,1.814826199250667571e+02
1.416625753124949982e+00,8.247889792215667626e+01
1.416696976460519952e+00,1.401916799191394887e+02
1.416768307319820064e+00,1.649049839160026352e+02
1.416839643743619925e+00,1.731225119127459209e+02
1.416910988970639940e+00,2.390356759093647838e+02
1.416982240991280007e+00,1.730670919058595985e+02
1.417053598961020011e+00,1.647994079022157905e+02
1.417124965737720066e+00,1.235797718984329805e+02
1.417196239280970049e+00,1.482719878945116818e+02
1.417267519993919977e+00,1.400122378904412699e+02
1.417339007142550011e+00,1.152857358862042219e+02
1.417410302218170104e+00,1.811342918818182852e+02
1.417481803771799997e+00,1.317129518772530048e+02
1.417553212066750001e+00,1.975377958725208600e+02
1.417624528694430008e+00,1.563590538676160691e+02
1.417695952991399944e+00,1.727902378625182394e+02
1.417767481747060021e+00,1.809893638572198142e+02
1.417838918828759898e+00,1.398330238517281998e+02
1.417910463633329954e+00,1.398106378460205121e+02
1.417981915124979952e+00,9.867406384010510578e+01
1.418053375439850106e+00,2.302026218339659067e+02
1.418124940267919909e+00,1.972849418275860103e+02
1.418196314435570038e+00,1.643778078209834916e+02
1.418267895314279992e+00,1.396987598141127478e+02
1.418339481796859980e+00,1.232438818069827846e+02
1.418411077128890030e+00,1.642988737995836175e+02
1.418482480102680077e+00,1.806998297919272147e+02
1.418554187241579889e+00,5.748619378394950985e+01
1.418625705249749958e+00,2.299079577756940864e+02
1.418697327858410073e+00,1.888227377671165073e+02
1.418768860300869905e+00,1.395422817582287678e+02
1.418840596397610065e+00,2.297975617489816784e+02
1.418912141665070070e+00,1.723205877394137815e+02
1.418983794824000055e+00,1.394752797294731579e+02
1.419055354534159985e+00,1.640623017191744850e+02
1.419127121230250088e+00,1.722378237084600130e+02
1.419198794479439973e+00,9.020537569735958527e+01
1.419270476593190056e+00,1.721826936858434749e+02
1.419342164323849964e+00,1.557593996738968940e+02
1.419413859296799973e+00,1.721275636615038422e+02
1.419485662260129955e+00,1.721000056486295477e+02
1.419557371731150042e+00,2.294299316352931726e+02
1.419628990931000034e+00,1.802375176214785029e+02
1.419700814036529923e+00,2.293564756071096440e+02
1.419772646035500019e+00,1.965597995922045698e+02
1.419844285333720091e+00,1.392075655767877720e+02
1.419916130226170026e+00,1.473726495607533025e+02
1.419987984015870008e+00,1.473490435441216846e+02
1.420059744249670075e+00,2.128034355268961804e+02
1.420131513363179998e+00,1.391184375090309686e+02
1.420203387327100053e+00,1.554604174904775391e+02
